country_name,country_code,2018
Aruba,ABW,180
Afghanistan,AFG,652860
Angola,AGO,1246700
Albania,ALB,27400
Andorra,AND,470
Arab World,ARB,11232647.0079041
United Arab Emirates,ARE,71020
Argentina,ARG,2736690
Armenia,ARM,28470
American Samoa,ASM,200
Antigua and Barbuda,ATG,440
Australia,AUS,7692020
Austria,AUT,82522.998046875
Azerbaijan,AZE,82670
Burundi,BDI,25680
Belgium,BEL,30280
Benin,BEN,112760
Burkina Faso,BFA,273600
Bangladesh,BGD,130170
Bulgaria,BGR,108560
Bahrain,BHR,778.000030517578
"Bahamas, The",BHS,10010
Bosnia and Herzegovina,BIH,51200
Belarus,BLR,202988.0078125
Belize,BLZ,22810
Bermuda,BMU,54.0000009536743
Bolivia,BOL,1083300
Brazil,BRA,8358140
Barbados,BRB,430
Brunei Darussalam,BRN,5270
Bhutan,BTN,38143.9990234375
Botswana,BWA,566730
Central African Republic,CAF,622980
Canada,CAN,9093510
Central Europe and the Baltics,CEB,1105054.00146484
Switzerland,CHE,39516.0009765625
Channel Islands,CHI,197.999992370605
Chile,CHL,743532.03125
China,CHN,9388210
Cote d'Ivoire,CIV,318000
Cameroon,CMR,472710
"Congo, Dem. Rep.",COD,2267050
"Congo, Rep.",COG,341500
Colombia,COL,1109500
Comoros,COM,1861.00006103516
Cabo Verde,CPV,4030
Costa Rica,CRI,51060
Caribbean small states,CSS,404850
Cuba,CUB,104020
Cayman Islands,CYM,240
Cyprus,CYP,9240
Czech Republic,CZE,77220
Germany,DEU,349360
Djibouti,DJI,23180
Dominica,DMA,750
Denmark,DNK,41990
Dominican Republic,DOM,48310
Algeria,DZA,2381740
Ecuador,ECU,248360
"Egypt, Arab Rep.",EGY,995450
Euro area,EMU,2678923.57177734
Eritrea,ERI,101000
Spain,ESP,499563.984375
Estonia,EST,43470
Ethiopia,ETH,1000000
European Union,EUU,4238693.57177734
Finland,FIN,303910
Fiji,FJI,18270
France,FRA,547556.9921875
Faroe Islands,FRO,1396.00006103516
Micronesia,FSM,700
Gabon,GAB,257670
United Kingdom,GBR,241930
Georgia,GEO,69490
Ghana,GHA,227540
Gibraltar,GIB,10
Guinea,GIN,245720
Gambia,GMB,10120
Guinea-Bissau,GNB,28120
Equatorial Guinea,GNQ,28050
Greece,GRC,128900
Grenada,GRD,340
Greenland,GRL,410450
Guatemala,GTM,107160
Guam,GUM,540
Guyana,GUY,196850
High income,HIC,37881599.0158224
Hong Kong,HKG,1050
Honduras,HND,111890
Croatia,HRV,55960
Haiti,HTI,27560
Hungary,HUN,90530
Indonesia,IDN,1811570
Isle of Man,IMN,570
India,IND,2973190
Ireland,IRL,68890
"Iran, Islamic Rep.",IRN,1628760
Iraq,IRQ,434128.0078125
Iceland,ISL,100250
Israel,ISR,21640
Italy,ITA,294140
Jamaica,JAM,10830
Jordan,JOR,88780
Japan,JPN,364560
Kazakhstan,KAZ,2699700
Kenya,KEN,569140
Kyrgyz Republic,KGZ,191800
Cambodia,KHM,176520
Kiribati,KIR,810
St. Kitts and Nevis,KNA,260
South Korea,KOR,97489.00390625
Kuwait,KWT,17820
Lao,LAO,230800
Lebanon,LBN,10230
Liberia,LBR,96320
Libya,LBY,1759540
St. Lucia,LCA,610
Liechtenstein,LIE,160
Sri Lanka,LKA,62710
Lesotho,LSO,30360
Lithuania,LTU,62642.001953125
Luxembourg,LUX,2430
Latvia,LVA,62180
Macao,MAC,30.3999996185303
Morocco,MAR,446300
Moldova,MDA,32890
Madagascar,MDG,581800
Maldives,MDV,300
Mexico,MEX,1943950
Marshall Islands,MHL,180
Middle income,MIC,75229010.0146484
Macedonia,MKD,25220
Mali,MLI,1220190
Malta,MLT,320
Myanmar,MMR,653080
Montenegro,MNE,13450
Mongolia,MNG,1553560
Northern Mariana Islands,MNP,460
Mozambique,MOZ,786380
Mauritania,MRT,1030700
Mauritius,MUS,2030
Malawi,MWI,94280
Malaysia,MYS,328550
North America,NAC,18240984.000001
Namibia,NAM,823290
New Caledonia,NCL,18280
Niger,NER,1266700
Nigeria,NGA,910770
Nicaragua,NIC,120340
Netherlands,NLD,33690
Norway,NOR,365123.0078125
Nepal,NPL,143350
Nauru,NRU,20
New Zealand,NZL,263310
Oman,OMN,309500
Pakistan,PAK,770880
Panama,PAN,74340
Peru,PER,1280000
Philippines,PHL,298170
Palau,PLW,460
Papua New Guinea,PNG,452860
Poland,POL,306190
Puerto Rico,PRI,8870
North Korea,PRK,120410
Portugal,PRT,91605.595703125
Paraguay,PRY,397300
West Bank and Gaza,PSE,6020
Qatar,QAT,11610
Romania,ROU,230080
Russian Federation,RUS,16376870
Rwanda,RWA,24670
South Asia,SAS,4771603.99902344
Saudi Arabia,SAU,2149690
Senegal,SEN,192530
Singapore,SGP,709.000015258789
Solomon Islands,SLB,27990
Sierra Leone,SLE,72180
El Salvador,SLV,20720
San Marino,SMR,60
Somalia,SOM,627340
Serbia,SRB,87460
Sub-Saharan Africa,SSF,21242361.000061
Sao Tome and Principe,STP,960
Suriname,SUR,156000
Slovak Republic,SVK,48080
Slovenia,SVN,20141.9995117188
Sweden,SWE,407310
Eswatini,SWZ,17200
Seychelles,SYC,460
Syrian Arab Republic,SYR,183630
Turks and Caicos Islands,TCA,950
Chad,TCD,1259200
Togo,TGO,54390
Thailand,THA,510890
Tajikistan,TJK,138790
Turkmenistan,TKM,469930
Timor-Leste,TLS,14870
Tonga,TON,720
Trinidad and Tobago,TTO,5130
Tunisia,TUN,155360
Turkey,TUR,769630
Tuvalu,TUV,30
Tanzania,TZA,885800
Uganda,UGA,200520
Ukraine,UKR,579290
Upper middle income,UMC,55536296.015625
Uruguay,URY,175020
United States,USA,9147420
Uzbekistan,UZB,425400
St. Vincent and the Grenadines,VCT,390
"Venezuela, RB",VEN,882050
British Virgin Islands,VGB,150
US Virgin Islands,VIR,350
Vietnam,VNM,310070
Vanuatu,VUT,12190
World,WLD,127343220.030532
Samoa,WSM,2830
Yemen,YEM,527970
South Africa,ZAF,1213090
Zambia,ZMB,743390
Zimbabwe,ZWE,386850
