country,population,gdp,area,density,unemployment,females,color_code
Australia,24450561,63052,7686850,3.180829729,5,50.183,ffba49
Belgium,11429336,50827,30528,374.3886268,5.5,50.689,20a39e
Brazil,209288278,10626,8511965,24.58753977,13.1,50.855,ef5b5b
China,1409517397,10946,9596960,146.8712381,3.9,48.47,912f56
France,64979548,46732,547030,118.7860775,8.9,50.833,f2e3bc
Germany,82114224,53577,357021,229.9983026,3.3,50.758,ff8552
India,1339180127,2305,3287590,407.3440201,6.9,48.18,f76f8e
Ireland,4761657,84426,70280,67.75266079,5.3,50.404,14cc60
Italy,59359900,38190,301230,197.0583939,10.6,51.265,931621
Netherlands,17035938,58062,41526,410.2475076,3.5,50.245,b33951
New Zealand,4705818,49104,26868,175.145824,3.9,50.826,40434e
United Kingdom,66181585,45141,244820,270.3275263,4,50.659,d1f5ff
United States,324459463,65058,9631420,33.68760401,3.9,50.504,7d53de
Vietnam,95540800,2719,329560,289.9041146,2.2,50.515,e5446d